time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,daily_return,volatility,MA_20,MA_50
2019-12-26,-1.2987857282408646,-1.288244860756832,-1.2977916627193784,-0.5976165485122965,-0.958129794750506,-1.2980232557950446,direct,,0.006464342056518246,0.016368601652070502,7645.8675,8605.9606
2019-12-27,-1.305344948148403,-1.2923748191469455,-1.2976191653513618,-0.5185331642667391,-0.9478712389590939,-1.2962433513528853,direct,,0.006464342056518246,0.016368601652070502,7645.8675,8605.9606
2019-12-28,-1.3015678133884852,-1.2848821232109935,-1.2958372025185656,-0.9058569780985997,-1.0022723205654265,-1.2938590663939846,direct,,0.008603742579771811,0.016368601652070502,7645.8675,8605.9606
2019-12-29,-1.2950907948634791,-1.2832540228232439,-1.29345016022634,-0.7753570808797119,-0.9820140293333481,-1.2906782369487348,direct,,0.011380178042516453,0.016368601652070502,7645.8675,8605.9606
2019-12-30,-1.2998419597040871,-1.2860068080905462,-1.290265652274878,-0.605520357938703,-0.9587562063397014,-1.296983736587679,direct,,-0.022305591331294505,0.016368601652070502,7645.8675,8605.9606
2019-12-31,-1.3031761829051551,-1.2892399844358255,-1.2965784439802437,-0.7331340803213836,-0.9783920686807758,-1.2989153092126113,direct,,-0.006988792498106244,0.016368601652070502,7645.8675,8605.9606
2020-01-01,-1.3053562086117636,-1.2880739336307931,-1.2985122503941988,-1.0003541706547732,-1.0168215755524668,-1.2986837955633412,direct,,0.0008435552932397616,0.016368601652070502,7645.8675,8605.9606
2020-01-02,-1.3069446846431627,-1.2968930708941566,-1.298280469008349,-0.48166641167586277,-0.9451830479262866,-1.3072498005863291,direct,,-0.03118523937612827,0.016368601652070502,7645.8675,8605.9606
2020-01-03,-1.3001032024540524,-1.2993598068843206,-1.3068563802847928,0.41860253301284817,-0.8114563912133819,-1.29296242854772,direct,,0.053688635202103985,0.027620854477425297,7645.8675,8605.9606
2020-01-04,-1.300154249887954,-1.2839069020055798,-1.2925524854530897,-0.6390402516628778,-0.963046844392926,-1.2922824049574548,direct,,0.002425167241167925,0.027473174291750082,7645.8675,8605.9606
2020-01-05,-1.2965632881222646,-1.2818983131523327,-1.2918716754418476,-0.568254841213904,-0.9510085007911993,-1.2921884241691375,direct,,0.0003343527013250913,0.02710050527391807,7645.8675,8605.9606
2020-01-06,-1.2853700121930687,-1.2809211407240189,-1.2917775859683838,0.2228878930685673,-0.828696517135507,-1.276802699421533,direct,,0.054719047386126984,0.031952760556109266,7645.8675,8605.9606
2020-01-07,-1.2696428983661239,-1.2660348709754343,-1.2763740682252642,1.2482845647495955,-0.65366304893678,-1.2616102847507116,direct,,0.051228375730578035,0.03412974824727089,7645.8675,8605.9606
2020-01-08,-1.2606337769801017,-1.2606729104462686,-1.261164084114554,1.5902182637704745,-0.5837608778243354,-1.2660117183369144,direct,,-0.014118249685062922,0.03587054614218558,7645.8675,8605.9606
2020-01-09,-1.2760808806181465,-1.2652360403201794,-1.2655706077884417,-0.0034919564539378735,-0.8541896566834951,-1.2747144921494051,direct,,-0.02831519611194311,0.03524252630729939,7645.8675,8605.9606
2020-01-10,-1.2706405754198715,-1.2681425819520007,-1.2742834460222028,0.5445327418647361,-0.7659325438259336,-1.2604660877547322,direct,,0.04770926209009452,0.034267946467058594,7645.8675,8605.9606
2020-01-11,-1.2670608741175426,-1.2556036333521012,-1.2600185638990091,-0.3329415428419984,-0.9009131435097966,-1.2667975658229675,direct,,-0.020234887324167228,0.03677391937325946,7645.8675,8605.9606
